0.0E-06         0.0E+00         0       X       1       X       X       X            22    0    R       gamma                   xxx
1.617E+03     	1.81E+02    	0  	+	2   	-	+	X	  10225	   0	R	eta(2)(1645)     	x(uU+dD)+y(sS)  
1.670E+03     	3.15E+02    	0  	-	1   	-	-	X	  30223	   0	R	omega(1650)      	x(uU+dD)+y(sS)  
1.667E+03     	1.680E+02   	0  	-	3   	-	-	X	    227	   0	R	omega(3)(1670)   	x(uU+dD)+y(sS)  
1.6724E+03    	2.59E+02    	1  	-	2   	-	X	B	  10215	   +	R	pi(2)(1670)      	uD              
1.6724E+03    	2.59E+02    	1  	-	2   	-	+	X	  10115	   0	R	pi(2)(1670)      	(uU-dD)/1.4 
1.680E+03     	1.5E+02     	0  	-	1   	-	-	X	 100333	   0	R	phi(1680)        	x(uU+dD)+y(sS)  
1.6888E+03    	1.610E+02   	1  	+	3   	-	X	B	    217	   +	R	rho(3)(1690)     	uD              
1.6888E+03    	1.610E+02   	1  	+	3   	-	-	X	    117	   0	R	rho(3)(1690)     	(uU-dD)/1.4 
1.720E+03     	2.50E+02    	1  	+	1   	-	X	B	  30213	   +	R	rho(1700)        	uD              
1.720E+03     	2.50E+02    	1  	+	1   	-	-	X	  30113	   0	R	rho(1700)        	(uU-dD)/1.4 
1.732E+03     	1.9E+02     	1  	-	2   	+	X	B	9000215	   +	S	a(2)(1700)       	uD              
1.732E+03     	1.9E+02     	1  	-	2   	+	+	X	9000115	   0	S	a(2)(1700)       	(uU-dD)/1.4 
1.724E+03     	1.37E+02    	0  	+	0   	+	+	X	  10331	   0	R	f(0)(1710)       	x(uU+dD)+y(sS)  
1.756E+03     	9.6E+01     	0  	+	0   	-	+	X	9040221	   0	S	eta(1760)        	x(uU+dD)+y(sS)  
1.816E+03     	2.08E+02    	1  	-	0   	-	X	B	9010211	   +	R	pi(1800)         	uD              
1.816E+03     	2.08E+02    	1  	-	0   	-	+	X	9010111	   0	R	pi(1800)         	(uU-dD)/1.4 
1.815E+03     	1.97E+02    	0  	+	2   	+	+	X	9030225	   0	S	f(2)(1810)       	x(uU+dD)+y(sS)  
1.854E+03     	8.7E+01     	0  	-	3   	-	-	X	    337	   0	R	phi(3)(1850)     	x(uU+dD)+y(sS)  
1.842E+03     	2.25E+02    	0  	+	2   	-	+	X	  10335	   0	S	eta(2)(1870)     	x(uU+dD)+y(sS)  
1.909E+03     	4.8E+01     	1  	+	1   	-	X	B	9030213	   +	S	rho(1900)        	uD              
1.909E+03     	4.8E+01     	1  	+	1   	-	-	X	9030113	   0	S	rho(1900)        	(uU-dD)/1.4 
1.903E+03     	1.96E+02    	0  	+	2   	+	+	X	9040225	   0	S	f(2)(1910)       	x(uU+dD)+y(sS)  
1.944E+03     	4.72E+02    	0  	+	2   	+	+	X	9050225	   0	R	f(2)(1950)       	x(uU+dD)+y(sS)  
1.982E+03     	1.88E+02    	1  	+	3   	-	X	B	9000217	   +	S	rho(3)(1990)     	uD              
1.982E+03     	1.88E+02    	1  	+	3   	-	-	X	9000117	   0	S	rho(3)(1990)     	(uU-dD)/1.4 
2.01E+03      	2.0E+02     	0  	+	2   	+	+	X	9060225	   0	R	f(2)(2010)       	x(uU+dD)+y(sS)  
1.992E+03     	4.4E+02     	0  	+	0   	+	+	X	9050221	   0	S	f(0)(2020)       	x(uU+dD)+y(sS)  
2.0010E+03    	3.13E+02    	1  	-	4   	+	X	B	    219	   +	R	a(4)(2040)       	uD              
2.0010E+03    	3.13E+02    	1  	-	4   	+	+	X	    119	   0	R	a(4)(2040)       	(uU-dD)/1.4 
2.018E+03     	2.37E+02    	0  	+	4   	+	+	X	    229	   0	R	f(4)(2050)       	x(uU+dD)+y(sS)  
2.090E+03     	6.2E+02     	1  	-	2   	-	X	B	9010215	   +	S	pi(2)(2100)      	uD              
2.090E+03     	6.2E+02     	1  	-	2   	-	+	X	9010115	   0	S	pi(2)(2100)      	(uU-dD)/1.4 
2.103E+03     	2.09E+02    	0  	+	0   	+	+	X	9060221	   0	S	f(0)(2100)       	x(uU+dD)+y(sS)  
2.156E+03     	1.67E+02    	0  	+	2   	+	+	X	9070225	   0	S	f(2)(2150)       	x(uU+dD)+y(sS)  
2.149E+03     	3.6E+02     	1  	+	1   	-	X	B	9040213	   +	S	rho(2150)        	uD              
2.149E+03     	3.6E+02     	1  	+	1   	-	-	X	9040113	   0	S	rho(2150)        	(uU-dD)/1.4 
2.189E+03     	2.4E+02     	0  	+	0   	+	+	X	9070221	   0	S	f(0)(2200)       	x(uU+dD)+y(sS)  
2.2311E+03    	2.3E+01     	0  	+	2	+	+	X	9000229	   0	S	f(2)(2220)       	x(uU+dD)+y(sS)  
2.220E+03     	1.5E+02     	0  	+	0   	-	+	X	9080221	   0	S	eta(2225)        	x(uU+dD)+y(sS)  
2.260E+03     	1.60E+02    	1  	+	3   	-	X	B	9010217	   +	S	rho(3)(2250)     	uD              
2.260E+03     	1.60E+02    	1  	+	3   	-	-	X	9010117	   0	S	rho(3)(2250)     	(uU-dD)/1.4 
2.297E+03     	1.5E+02     	0  	+	2   	+	+	X	9080225	   0	R	f(2)(2300)       	x(uU+dD)+y(sS)  
2.32E+03      	2.5E+02     	0  	+	4   	+	+	X	9010229	   0	S	f(4)(2300)       	x(uU+dD)+y(sS)  
2.314E+03     	1.44E+02    	0  	+	0   	+	+	X	9070221	   0	S	f(0)(2330)       	x(uU+dD)+y(sS)  
2.34E+03      	3.2E+02     	0  	+	2   	+	+	X	9090225	   0	R	f(2)(2340)       	x(uU+dD)+y(sS)  
4.93677E+02   	5.352E-14   	0.5	X	0   	-	X	B	    321	   +	R	K                	uS              
4.97614E+02   	-1          	0.5	X	0   	-	X	F	    311	   0	R	K                	dS              
6.7E+02       	5.50E+02    	0.5	X	0   	+	X	F	9000321	   +	S	K(0)*(800)       	uS              
6.7E+02       	5.50E+02    	0.5	X	0   	+	X	F	9000311	   0	S	K(0)*(800)       	dS              
8.9166E+02    	5.08E+01    	0.5	X	1   	-	X	F	    323	   +	R	K*(892)          	uS              
8.9600E+02    	5.03E+01    	0.5	X	1   	-	X	F	    313	   0	R	K*(892)          	dS              
1.272E+03     	9.0E+01     	0.5	X	1   	+	X	F	  10323	   +	R	K(1)(1270)       	uS              
1.272E+03     	9.0E+01     	0.5	X	1   	+	X	F	  10313	   0	R	K(1)(1270)       	dS              
1.403E+03     	1.74E+02    	0.5	X	1   	+	X	F	  20323	   +	R	K(1)(1400)       	uS              
1.403E+03     	1.74E+02    	0.5	X	1   	+	X	F	  20313	   0	R	K(1)(1400)       	dS              
1.414E+03     	2.32E+02    	0.5	X	1   	-	X	F	 100323	   +	R	K*(1410)         	uS              
1.414E+03     	2.32E+02    	0.5	X	1   	-	X	F	 100313	   0	R	K*(1410)         	dS              
1.42E+03      	2.7E+02     	0.5	X	0   	+	X	F	  10321	   +	R	K(0)*(1430)      	uS              
1.42E+03      	2.7E+02     	0.5	X	0   	+	X	F	  10311	   0	R	K(0)*(1430)      	dS              
1.4256E+03    	9.85E+01    	0.5	X	2   	+	X	F	    325	   +	R	K(2)*(1430)      	uS              
1.4324E+03    	1.09E+02    	0.5	X	2   	+	X	F	    315	   0	R	K(2)*(1430)      	dS              
1460          	260         	0.5	X	0   	-	X	F	 100321	   +	S	K(1460)          	uS              
1460          	260         	0.5	X	0   	-	X	F	 100311	   0	S	K(1460)          	dS              
1580          	110         	0.5	X	2   	-	X	F	9000325	   +	S	K(2)(1580)       	uS              
1580          	110         	0.5	X	2   	-	X	F	9000315	   0	S	K(2)(1580)       	dS              
1.65E+03      	1.5E+02     	0.5	X	1   	+	X	F	9000323	   +	S	K(1)(1650)       	uS              
1.65E+03      	1.5E+02     	0.5	X	1   	+	X	F	9000313	   0	S	K(1)(1650)       	dS              
1.717E+03     	3.2E+02     	0.5	X	1   	-	X	F	  30323	   +	R	K*(1680)         	uS              
1.717E+03     	3.2E+02     	0.5	X	1   	-	X	F	  30313	   0	R	K*(1680)         	dS              
1.773E+03     	1.86E+02    	0.5	X	2   	-	X	F	  10325	   +	R	K(2)(1770)       	uS              
1.773E+03     	1.86E+02    	0.5	X	2   	-	X	F	  10315	   0	R	K(2)(1770)       	dS              
1.776E+03     	1.59E+02    	0.5	X	3   	-	X	F	    327	   +	R	K(3)*(1780)      	uS              
